type,labels,number_of_crashes,center_lat,center_lng
Ясно,539,3,55.70696766666667,37.66796333333333
Ясно,541,2,55.734970000000004,37.627776999999995
Ясно,2589,2,55.5483485,37.5862455
Ясно,548,2,55.769072,37.6922895
Ясно,550,2,55.727784,37.6692815
Ясно,553,2,55.726104,37.460525
Ясно,2604,2,55.778090500000005,37.459066
Ясно,556,2,55.808145499999995,37.5181815
Ясно,559,2,55.6996405,37.566617
Ясно,2608,2,55.766018,37.6532735
Ясно,561,2,55.7615025,37.684597
Ясно,564,2,55.887488000000005,37.557648
Ясно,565,3,55.82391033333334,37.82284133333333
Ясно,571,2,55.9581315,37.186837499999996
Ясно,2621,2,55.6099505,37.608700999999996
Ясно,575,2,55.591145499999996,37.475921
Ясно,578,2,55.643393,37.5261105
Ясно,580,2,55.940407,37.363316499999996
Ясно,588,2,55.754177,37.708805999999996
Ясно,2640,2,55.770523,37.6473195
Ясно,595,2,55.799279,37.40179
Ясно,2645,4,55.83208525,37.572655
Ясно,601,2,55.757262,37.6323845
Ясно,602,4,55.63279275,37.444936
Ясно,603,2,55.697914,37.7528425
Ясно,607,3,55.891662333333336,37.577083
Ясно,2657,2,55.802873,37.636086
Ясно,610,2,55.7049815,37.633211
Ясно,620,4,55.6390835,37.45894
Ясно,621,2,55.842925,37.491794
Ясно,622,2,55.6883995,37.5462005
Ясно,623,2,55.8128995,37.797920000000005
Ясно,625,2,55.7892695,37.454007000000004
Ясно,2675,2,55.8560425,37.7772615
Ясно,633,3,55.738737,37.49243633333333
Ясно,634,4,55.78161875,37.670137
Ясно,635,3,55.720798,37.70036433333333
Ясно,636,3,55.776494666666665,37.540823
Ясно,637,2,55.7825615,37.729272
Ясно,638,3,55.885060333333335,37.68720033333333
Ясно,646,2,55.646595500000004,37.718452
Ясно,648,2,55.6692565,37.4460625
Ясно,649,2,55.615274,37.659733
Ясно,661,2,55.691807,37.4697675
Ясно,666,2,55.8344065,37.3960285
Ясно,2717,2,55.759079,37.557487
Ясно,677,2,55.882448499999995,37.454178999999996
Ясно,2726,3,55.810096333333334,37.781782
Ясно,678,2,55.71125,37.724406
Ясно,682,2,55.7613395,37.539618000000004
Ясно,683,3,55.787865000000004,37.561004000000004
Ясно,686,2,55.733858,37.402729
Ясно,687,2,55.455163999999996,37.2938635
Ясно,2739,2,55.767195,37.622063499999996
Ясно,697,2,55.776784500000005,37.659996
Ясно,706,2,55.850102,37.432024
Ясно,708,2,55.810424999999995,37.6523135
Ясно,712,2,55.704054,37.8331695
Ясно,713,2,55.656411500000004,37.7271475
Ясно,714,2,55.700368999999995,37.626172999999994
Ясно,716,2,55.809689500000005,37.7806145
Ясно,2764,2,55.748633999999996,37.582689
Ясно,2766,2,55.7452315,37.421476999999996
Ясно,718,2,55.8359215,37.4128085
Ясно,721,2,55.8890795,37.712685
Ясно,725,4,55.7584845,37.61975425
Ясно,730,2,55.767053000000004,37.674178999999995
Ясно,734,2,55.715215,37.796906
Ясно,736,2,55.639863000000005,37.6899505
Ясно,738,2,55.89826,37.5603995
Ясно,742,2,55.754047,37.569916
Ясно,743,2,55.7736375,37.6322505
Ясно,749,2,55.8986685,37.595376
Ясно,755,4,55.74631225,37.5520125
Ясно,757,2,55.874868500000005,37.4339175
Ясно,771,2,55.5467375,37.515264
Ясно,776,2,55.779551,37.578172
Ясно,779,2,55.740964500000004,37.537611999999996
Ясно,781,2,55.857042,37.658794
Ясно,788,2,55.729402500000006,37.6120965
Ясно,791,2,55.655419,37.4805185
Ясно,799,2,55.840979000000004,37.663697
Ясно,800,3,55.809497,37.46412633333333
Ясно,801,2,55.8149945,37.638526999999996
Ясно,807,2,55.8178755,37.617257
Ясно,808,2,55.659526,37.406977499999996
Ясно,811,4,55.805642,37.582053
Ясно,828,2,55.769650999999996,37.596577499999995
Ясно,832,2,55.743987000000004,37.851456999999996
Ясно,835,2,55.669492500000004,37.5177255
Ясно,836,2,55.634613,37.519314
Ясно,837,3,55.581096,37.597092333333336
Ясно,839,2,55.726037500000004,37.839827
Ясно,842,2,55.6620735,37.6335275
Ясно,847,2,55.8098855,37.569412
Ясно,855,2,55.854116000000005,37.501219500000005
Ясно,863,3,55.75333166666667,37.82294666666667
Ясно,865,2,55.731553500000004,37.4947875
Ясно,866,2,55.62368,37.657072
Ясно,870,2,55.618145999999996,37.411022
Ясно,876,2,55.664364500000005,37.4753735
Ясно,877,2,55.88713,37.6977825
Ясно,885,2,55.721406,37.5584525
Ясно,888,2,55.8113265,37.482723
Ясно,895,2,55.713837,37.6648345
Ясно,899,3,55.746499666666665,37.534550333333335
Ясно,904,2,55.916674,37.5445855
Ясно,907,2,55.8834505,37.46693
Ясно,908,3,55.847983666666664,37.423396
Ясно,909,2,55.7843895,37.567679
Ясно,919,2,55.675915,37.5277035
Ясно,922,2,55.836747,37.658058999999994
Ясно,930,2,55.8091195,37.812141
Ясно,938,2,55.899992,37.627551499999996
Ясно,951,2,55.5414415,37.503172500000005
Ясно,955,2,55.757319499999994,37.5584475
Ясно,956,2,55.740795500000004,37.657399
Ясно,960,2,55.7538085,37.839408500000005
