labels,all_crashes,number_of_crashes,center_lat,center_lng
1899,0,3,55.792765333333335,37.492497
1901,0,2,55.6837905,37.599796
1903,0,2,55.8842115,37.688808
1904,0,2,55.661789,37.810226
1908,1,4,55.76293175,37.563210999999995
1913,0,2,55.7763075,37.503934
1915,0,5,55.6012546,37.7225554
1921,0,2,55.7847065,37.5642405
1925,0,2,55.707717,37.5743525
1928,0,2,55.7154355,37.575313
1929,0,2,55.6176245,37.727995
1930,0,2,55.818062999999995,37.3913025
1933,0,2,55.769298000000006,37.8452235
1934,0,4,55.730761,37.4239585
1944,0,2,55.756112,37.6073115
1945,0,2,55.725225,37.496337499999996
1950,0,5,55.6799148,37.5961032
1954,0,2,55.802243000000004,37.71358600000001
1956,0,2,55.6712775,37.7943315
1958,0,3,55.68172366666667,37.84392
1960,0,2,55.6799075,37.738509
1961,0,2,55.6645365,37.6032345
1968,0,2,55.6801825,37.532880500000005
1971,0,2,55.6520175,37.56629
1977,1,2,55.874790000000004,37.609355
1978,1,2,55.531769999999995,37.153026
1986,0,2,55.8024145,37.507769
1989,0,2,55.636363,37.750359
1990,2,2,55.7346195,37.224683999999996
1992,0,2,55.7288955,37.648596
1994,0,2,55.7927895,37.78298
2001,1,2,55.657368,37.437753
2010,0,2,55.749899,37.5827745
2018,0,3,55.82498666666667,37.64620166666667
2022,0,3,55.772564,37.589546666666664
2028,0,2,55.74056,37.700357499999996
2031,0,2,55.746928,37.419042000000005
2033,0,2,55.8497225,37.674533
2052,0,2,55.7811375,37.746561
2061,0,4,55.66475425,37.471199999999996
2063,0,2,55.698906,37.4030135
2065,0,2,55.808229999999995,37.517495
2067,0,3,55.80278033333334,37.719279666666665
2071,0,3,55.69531133333333,37.40792866666667
2073,0,3,55.73368466666667,37.66278166666667
2074,0,2,55.541844999999995,37.515457
2076,0,2,55.908391,37.550154
2079,0,2,55.996329,37.216648
2080,1,4,55.721122,37.43750075
2082,1,2,55.7021675,37.792953
2085,0,3,55.806543,37.79877333333333
2086,0,2,55.653639,37.755702
2092,0,5,55.671129,37.7486952
2099,0,2,55.74973,37.813615999999996
2102,2,4,55.78407575,37.699212
2106,0,2,55.732819500000005,37.416816
2109,0,2,55.978139,37.168684999999996
2110,0,2,55.492167,37.3270905
2117,0,2,55.6192815,37.7128725
2118,0,3,55.843558333333334,37.439228666666665
