type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,357,2,55.700227,37.7444905
Светлое время суток,2405,2,55.7523145,37.817269499999995
Светлое время суток,2407,2,55.725696,37.6224715
Светлое время суток,2408,2,55.697914,37.7528425
Светлое время суток,358,2,55.784543,37.599506500000004
Светлое время суток,361,2,55.5743415,37.6278735
Светлое время суток,2406,2,55.750898500000005,37.6970635
Светлое время суток,2412,2,55.707022,37.392086000000006
Светлое время суток,2414,3,55.65899233333333,37.759409
Светлое время суток,366,2,55.598271499999996,37.413822499999995
Светлое время суток,370,2,55.655207000000004,37.7597525
Светлое время суток,373,2,55.818536,37.638629
Светлое время суток,2423,3,55.889304333333335,37.71237
Светлое время суток,375,2,55.7467625,37.424341999999996
Светлое время суток,2425,2,55.856374,37.355768999999995
Светлое время суток,377,2,55.778631,37.523589
Светлое время суток,381,2,55.699544,37.830417999999995
Светлое время суток,2431,2,55.8869375,37.557680000000005
Светлое время суток,384,2,55.89826,37.5603995
Светлое время суток,391,2,55.7435765,37.874728
Светлое время суток,2442,3,55.672853333333336,37.626275
Светлое время суток,395,2,55.669492500000004,37.5177255
Светлое время суток,396,2,55.6131415,37.586031
Светлое время суток,397,3,55.68849633333333,37.545035999999996
Светлое время суток,408,2,55.839931,37.629504499999996
Светлое время суток,412,2,55.851222,37.354084
Светлое время суток,414,2,55.868012500000006,37.707401000000004
Светлое время суток,2466,2,55.847545,37.4760925
Светлое время суток,418,2,55.6640165,37.4830075
Светлое время суток,2470,2,55.722875,37.4480795
Светлое время суток,2473,2,55.879442499999996,37.484756
Светлое время суток,425,2,55.800264999999996,37.3320315
Светлое время суток,432,2,55.818315999999996,37.49828
Светлое время суток,433,3,55.880803666666665,37.441091666666665
Светлое время суток,434,2,55.726633,37.46592699999999
Светлое время суток,435,2,55.504864999999995,37.5836115
Светлое время суток,437,2,55.762909,37.563152
Светлое время суток,438,2,55.709621,37.896958
Светлое время суток,440,4,55.679897,37.596116
Светлое время суток,441,2,55.7092825,37.732587
Светлое время суток,2488,2,55.9048495,37.542831
Светлое время суток,2491,2,55.848572,37.355924
Светлое время суток,445,2,55.6419795,37.5940775
Светлое время суток,446,2,55.802782500000006,37.719262
Светлое время суток,447,4,55.699645000000004,37.5664455
Светлое время суток,451,2,55.8164745,37.405191
Светлое время суток,2502,2,55.580721999999994,37.700958
Светлое время суток,455,2,55.639094,37.6548085
Светлое время суток,2504,2,55.877198,37.4893215
Светлое время суток,2505,3,55.63836833333333,37.690955333333335
Светлое время суток,454,2,55.874790000000004,37.609355
Светлое время суток,463,2,55.643308000000005,37.454447
Светлое время суток,466,2,55.7966495,37.7901045
Светлое время суток,469,2,55.832789000000005,37.396114499999996
Светлое время суток,473,2,55.7613395,37.539618000000004
Светлое время суток,479,2,55.8008345,37.57505
Светлое время суток,2530,2,55.7958955,37.292592
Светлое время суток,2532,2,55.7547535,37.818364
Светлое время суток,485,3,55.54671233333333,37.51519233333333
Светлое время суток,2534,2,55.6693985,37.625024499999995
Светлое время суток,492,4,55.815998,37.717164000000004
Светлое время суток,497,2,55.611714,37.286804
Светлое время суток,501,2,55.907423,37.541233000000005
Светлое время суток,2551,2,55.6703125,37.584958
Светлое время суток,516,2,55.6203905,37.613604499999994
Светлое время суток,2564,2,55.664618000000004,37.602740999999995
Светлое время суток,518,4,55.7276495,37.6693565
Светлое время суток,2567,4,55.7379805,37.41172475
Светлое время суток,2571,2,55.952528,37.34762
Светлое время суток,526,2,55.8021495,37.839929
Светлое время суток,2579,2,55.6741965,37.4232265
Светлое время суток,534,3,55.71160166666667,37.62206166666667
Светлое время суток,2585,3,55.801916,37.526232
Светлое время суток,2587,3,55.69342266666667,37.536080999999996
Светлое время суток,540,3,55.69651066666667,37.620814
Светлое время суток,542,2,55.585637,37.713688
Светлое время суток,2590,2,55.760845,37.5614355
Светлое время суток,545,3,55.778526,37.58154266666667
Светлое время суток,546,2,55.8547175,37.4089995
Светлое время суток,2594,3,55.65105866666667,37.50658766666667
Светлое время суток,548,2,55.82472,37.432421
Светлое время суток,549,2,55.830372,37.552552000000006
Светлое время суток,550,2,55.7952775,37.543764499999995
Светлое время суток,551,2,55.8325295,37.355624
Светлое время суток,547,2,55.5601065,37.4216225
Светлое время суток,2598,3,55.609428666666666,37.767087333333336
Светлое время суток,554,2,55.808229999999995,37.517495
Светлое время суток,559,2,55.74951,37.4092735
Светлое время суток,561,3,55.905597666666665,37.58759
Светлое время суток,562,2,55.7350365,37.656921499999996
Светлое время суток,565,2,55.675915,37.5277035
Светлое время суток,2618,2,55.799279,37.40179
Светлое время суток,2620,2,55.618634,37.504953
Светлое время суток,2621,3,55.623152,37.59547233333333
Светлое время суток,575,2,55.775864,37.474333
Светлое время суток,2624,2,55.6629265,37.6195155
Светлое время суток,578,2,55.860806,37.433719499999995
Светлое время суток,580,2,55.639863000000005,37.6899505
Светлое время суток,581,2,55.611069,37.722249500000004
Светлое время суток,2637,2,55.736742500000005,37.655457
Светлое время суток,594,2,55.807302,37.395202499999996
Светлое время суток,595,3,55.76577266666666,37.65364733333333
Светлое время суток,2645,2,55.785399999999996,37.664362499999996
Светлое время суток,597,2,55.7791195,37.396506
Светлое время суток,601,2,55.484921,37.518278499999994
Светлое время суток,604,2,55.539226,37.399536999999995
Светлое время суток,2654,2,55.721119,37.4373935
Светлое время суток,607,3,55.76733133333333,37.822319
Светлое время суток,609,2,55.6328505,37.4451345
Светлое время суток,2659,2,55.796184999999994,37.493661
Светлое время суток,2662,2,55.648252,37.540417500000004
Светлое время суток,615,2,55.736673499999995,37.854949000000005
Светлое время суток,2663,2,55.693766499999995,37.620996500000004
Светлое время суток,2665,2,55.807075499999996,37.615841
Светлое время суток,2666,4,55.74594375,37.5581385
Светлое время суток,617,3,55.820812333333336,37.750078333333335
Светлое время суток,621,2,55.7703485,37.7153775
Светлое время суток,2670,2,55.798326,37.5363675
Светлое время суток,623,2,55.691807,37.4697675
Светлое время суток,627,3,55.95131633333333,37.554542000000005
Светлое время суток,2675,2,55.711782,37.666229
Светлое время суток,630,2,55.724708500000006,37.689102500000004
Светлое время суток,634,2,55.797509000000005,37.380306
Светлое время суток,2685,2,55.7736375,37.6322505
Светлое время суток,638,2,55.728426999999996,37.583687
Светлое время суток,639,2,55.826027499999995,37.7149165
Светлое время суток,644,2,55.594598,37.616248999999996
